Start 24676;82216.38;1800.00;25.33
17.00;0.13
18.00;-0.48
16.00;1.63
17.00;-1.09
18.00;1.43
17.00;0.00
18.00;-1.98
17.00;0.13
17.00;1.02
17.00;1.84
17.00;-1.77
18.00;-0.68
17.00;0.00
18.00;0.34
17.00;-0.41
16.00;-0.74
18.00;0.27
17.00;1.23
18.00;0.75
17.00;-1.09
17.00;-1.16
17.00;1.16
17.00;-0.34
18.00;-0.20
17.00;-0.34
17.00;0.34
18.00;0.00
16.00;1.63
18.00;0.34
17.00;-1.42
18.00;-0.89
17.00;0.34
17.00;1.77
18.00;-1.63
17.00;1.16
18.00;-1.63
17.00;0.13
17.00;-0.13
18.00;0.34
17.00;0.95
17.00;-0.81
16.00;0.07
18.00;-0.81
17.00;0.88
18.00;-0.95
17.00;0.88
17.00;0.61
17.00;-0.61
17.00;-0.41
18.00;0.76
17.00;-1.77
17.00;1.36
18.00;-0.13
16.00;0.20
18.00;0.00
17.00;0.74
18.00;-0.13
17.00;-1.16
17.00;0.48
17.00;1.50
17.00;-2.18
18.00;2.18
17.00;-0.34
17.00;-1.16
18.00;-0.74
16.00;0.74
18.00;1.63
17.00;-2.45
17.00;0.88
18.00;-0.20
17.00;0.00
18.00;1.63
16.00;-1.63
18.00;-0.34
17.00;0.55
17.00;1.09
18.00;0.34
17.00;-0.82
17.00;-1.16
17.00;0.34
17.00;2.66
18.00;-1.02
17.00;-1.63
18.00;1.16
16.00;-0.61
18.00;-0.89
17.00;1.98
17.00;-1.98
18.00;0.48
17.00;-0.13
17.00;-1.50
17.00;-0.27
18.00;1.16
17.00;1.90
17.00;-1.63
18.00;0.34
16.00;0.55
18.00;-1.03
17.00;0.48
17.00;0.95
18.00;-1.49
17.00;1.84
17.00;-2.52
17.00;0.62
17.00;0.27
18.00;0.00
17.00;0.48
18.00;0.00
17.00;-0.13
17.00;-0.34
17.00;-1.98
17.00;1.98
18.00;1.02
17.00;-1.02
18.00;0.48
16.00;-0.34
17.00;1.77
18.00;0.07
17.00;-1.98
18.00;0.48
17.00;-1.16
16.00;1.23
18.00;-0.20
17.00;-0.61
18.00;0.81
17.00;-0.07
18.00;0.00
17.00;-0.74
18.00;0.27
17.00;0.62
16.00;-0.62
18.00;0.48
17.00;-0.13
18.00;1.29
17.00;-1.50
17.00;0.00
17.00;0.34
17.00;-0.48
18.00;0.89
17.00;-0.76
17.00;0.00
18.00;1.98
17.00;-1.09
18.00;-0.67
17.00;-0.21
18.00;-0.67
17.00;2.17
17.00;-1.90
18.00;1.16
17.00;-1.64
18.00;1.43
17.00;0.95
17.00;-0.74
18.00;-1.16
17.00;0.00
17.00;0.61
17.00;-0.34
17.00;0.00
18.00;0.48
17.00;0.54
18.00;0.62
17.00;-1.16
17.00;0.00
17.00;-0.68
17.00;2.18
17.00;-1.98
17.00;0.13
17.00;-0.13
17.00;0.13
18.00;0.41
17.00;-0.41
17.00;-0.81
18.00;2.66
16.00;-1.63
18.00;0.67
17.00;0.96
17.00;-0.34
18.00;-1.90
17.00;0.61
17.00;0.34
17.00;-0.13
18.00;-0.55
17.00;0.34
17.00;-0.21
18.00;-0.13
16.00;2.11
18.00;-1.43
17.00;-0.68
17.00;-0.20
18.00;1.84
17.00;-2.92
17.00;1.63
17.00;-1.50
17.00;1.16
18.00;-0.34
17.00;0.47
18.00;1.50
16.00;-0.34
18.00;-2.45
17.00;0.95
17.00;0.34
18.00;0.21
17.00;1.63
17.00;-1.50
17.00;-0.62
18.00;0.14
17.00;1.98
16.00;-1.98
18.00;0.48
17.00;-0.81
18.00;0.34
17.00;-0.27
17.00;-0.89
17.00;0.55
17.00;1.23
18.00;-0.48
17.00;0.00
18.00;0.41
17.00;-0.55
16.00;0.13
18.00;0.21
17.00;-0.61
18.00;0.61
17.00;-0.21
17.00;1.50
18.00;-1.63
17.00;0.48
18.00;-0.48
17.00;0.34
17.00;0.20
18.00;-0.20
17.00;-0.34
17.00;0.00
17.00;0.00
18.00;1.98
17.00;-1.50
17.00;0.07
18.00;-1.23
16.00;0.48
18.00;-1.09
17.00;2.92
17.00;-1.29
18.00;-0.88
17.00;0.88
17.00;0.13
17.00;0.07
17.00;0.00
17.00;-1.70
17.00;0.82
17.00;-0.95
17.00;-0.82
18.00;2.66
17.00;-1.70
17.00;0.62
18.00;-0.48
16.00;-2.11
18.00;2.80
17.00;-1.16
18.00;0.95
17.00;0.20
17.00;0.00
17.00;0.34
17.00;-1.02
18.00;1.02
17.00;-0.27
17.00;-2.05
18.00;2.80
16.00;-0.48
18.00;-1.02
17.00;1.02
17.00;-0.88
18.00;0.88
17.00;-2.25
17.00;4.23
17.00;-1.98
18.00;0.00
17.00;0.34
17.00;-0.34
18.00;0.00
17.00;-1.43
18.00;-0.41
17.00;0.55
17.00;-0.55
18.00;1.36
17.00;0.21
18.00;0.13
16.00;0.69
18.00;-0.88
17.00;-2.25
16.00;1.70
17.00;-0.75
17.00;0.75
18.00;-0.95
17.00;1.84
18.00;-2.25
16.00;0.96
17.00;-0.69
18.00;0.69
17.00;-1.98
18.00;1.98
17.00;0.00
16.00;0.00
18.00;0.75
17.00;-1.71
18.00;-0.07
17.00;1.03
17.00;-1.30
18.00;2.59
17.00;-1.84
18.00;0.41
17.00;-1.70
18.00;1.84
17.00;1.29
17.00;-1.02
18.00;-0.81
17.00;0.81
18.00;-0.95
17.00;1.23
17.00;0.14
18.00;0.00
16.00;-1.50
18.00;0.95
17.00;0.55
18.00;-0.14
17.00;1.09
17.00;-1.50
17.00;-0.48
17.00;1.77
18.00;-0.40
17.00;-0.41
17.00;1.02
17.00;-0.95
17.00;-0.88
18.00;0.40
17.00;0.83
18.00;-0.76
16.00;-1.09
17.00;1.36
18.00;0.75
17.00;1.63
18.00;-2.24
17.00;-0.68
17.00;0.68
18.00;0.74
17.00;0.21
18.00;-1.63
17.00;0.41
18.00;-0.75
17.00;0.88
17.00;0.07
18.00;0.68
17.00;-0.34
18.00;-0.48
17.00;-1.43
17.00;-0.88
18.00;1.98
17.00;-1.56
18.00;0.61
17.00;4.09
17.00;-3.41
16.00;0.14
17.00;0.61
18.00;-0.20
17.00;-0.41
18.00;0.61
17.00;0.68
17.00;-1.23
18.00;-0.75
17.00;1.77
18.00;0.06
17.00;-2.11
18.00;0.96
17.00;0.41
17.00;-1.37
18.00;2.59
17.00;-1.98
18.00;0.61
17.00;-1.30
17.00;1.37
18.00;0.95
